Topic,Subtopic,Level,Question Type,Question,Option 1,Option 2,Option 3,Option 4,Answer
physics,light,Advanced,Multiple Choice,Which phenomenon best explains the separation of white light into its constituent colors by a prism?,Diffraction, Reflection, Refraction, Interference,Refraction
physics,light,Advanced,Multiple Choice,What is the approximate speed of light in a vacuum?,3 x 10^5 m/s, 3 x 10^8 m/s, 3 x 10^6 m/s, 3 x 10^9 m/s,3 x 10^8 m/s
physics,light,Advanced,Multiple Choice,The Doppler effect observed in light from distant galaxies indicates:,Galaxies are stationary, Galaxies are moving away from us, Galaxies are moving towards us, Galaxies are rotating faster,Galaxies are moving away from us
physics,light,Advanced,Multiple Choice,Which of these is NOT a characteristic of laser light?,Monochromatic, Coherent, Divergent, Collimated,Divergent
physics,light,Advanced,Multiple Choice,What does the refractive index of a medium represent?,Speed of light in vacuum / Speed of light in the medium, Speed of light in the medium / Speed of light in vacuum, Frequency of light in vacuum / Frequency of light in the medium, Wavelength of light in vacuum / Wavelength of light in the medium,Speed of light in vacuum / Speed of light in the medium
physics,light,Advanced,Multiple Choice,What type of wave is light?,Longitudinal, Transverse, Surface, Mechanical,Transverse
physics,light,Advanced,Multiple Choice,What phenomenon causes the sky to appear blue?,Rayleigh scattering, Mie scattering, Reflection, Diffraction,Rayleigh scattering
physics,light,Advanced,Multiple Choice,Which principle states that it is impossible to simultaneously know both the position and momentum of a photon with perfect accuracy?,Heisenberg Uncertainty Principle, Pauli Exclusion Principle, Aufbau Principle, Hund's Rule,Heisenberg Uncertainty Principle
physics,light,Advanced,Multiple Choice,What happens when light moves from a denser medium to a rarer medium?,Its speed decreases, Its speed increases, Its frequency increases, Its wavelength decreases,Its speed increases
physics,light,Advanced,Multiple Choice,What is the unit of luminous intensity?,Candela, Lumen, Lux, Watt,Candela
physics,light,Advanced,Multiple Choice,Which phenomenon is responsible for the formation of rainbows?,Dispersion, Diffraction, Interference, Polarization,Dispersion
physics,light,Advanced,Multiple Choice,Two light waves are said to be coherent if they have:,The same amplitude, The same frequency and a constant phase difference, Different frequencies,  The same amplitude and different frequencies,The same frequency and a constant phase difference
physics,light,Advanced,Multiple Choice,What is the process of confining light within a material by total internal reflection?,Optical trapping, Total internal confinement, Light piping,  Optical fiber propagation,Optical fiber propagation
physics,light,Advanced,Multiple Choice,Which of these describes the bending of light as it passes through a narrow opening?,Diffraction, Refraction, Reflection, Dispersion,Diffraction
